No.	レコードID / 记录ID	f1 フリガナ / 片假名	f2 漢字 / 汉字	f3 生年月日 / 出生日期	ヒット想定 / 预期命中	名称（フリガナ）	名称（漢字）	設立/生年月日	部店コード
1	1A2A3Ah	A：一致 / 匹配	A：一致 / 匹配	A：一致 / 匹配	ヒット / 命中	アイダマナ	相田　マナ	20000101	0011
2	1A2B3A	A：一致 / 匹配	B：不一致 / 不匹配	A：一致 / 匹配	−	アイダマナ	相他ナナ	20000101	0011
3	1A2C3Ah	A：一致 / 匹配	C：未設定 / 未设置	A：一致 / 匹配	ヒット / 命中	アイダマナ	(未設定)	20000101	0011
4	1A2A3B	A：一致 / 匹配	A：一致 / 匹配	B：不一致 / 不匹配	−	アイダマナ	相田　マナ	20010101	0011
5	1A2B3B	A：一致 / 匹配	B：不一致 / 不匹配	B：不一致 / 不匹配	−	アイダマナ	相他ナナ	20010101	0011
6	1A2C3B	A：一致 / 匹配	C：未設定 / 未设置	B：不一致 / 不匹配	−	アイダマナ	(未設定)	20010101	0011
7	1A2A3Ch	A：一致 / 匹配	A：一致 / 匹配	C：未設定 / 未设置	ヒット / 命中	アイダマナ	相田　マナ	(未設定)	0011
8	1A2B3C	A：一致 / 匹配	B：不一致 / 不匹配	C：未設定 / 未设置	−	アイダマナ	相他ナナ	(未設定)	0011
9	1A2C3Ch	A：一致 / 匹配	C：未設定 / 未设置	C：未設定 / 未设置	ヒット / 命中	アイダマナ	(未設定)	(未設定)	0011
10	1B2A3A	B：不一致 / 不匹配	A：一致 / 匹配	A：一致 / 匹配	−	アイタナナ	相田　マナ	20000101	0011
11	1B2B3A	B：不一致 / 不匹配	B：不一致 / 不匹配	A：一致 / 匹配	−	アイタナナ	相他ナナ	20000101	0011
12	1B2C3A	B：不一致 / 不匹配	C：未設定 / 未设置	A：一致 / 匹配	−	アイタナナ	(未設定)	20000101	0011
13	1B2A3B	B：不一致 / 不匹配	A：一致 / 匹配	B：不一致 / 不匹配	−	アイタナナ	相田　マナ	20010101	0011
14	1B2B3B	B：不一致 / 不匹配	B：不一致 / 不匹配	B：不一致 / 不匹配	−	アイタナナ	相他ナナ	20010101	0011
15	1B2C3B	B：不一致 / 不匹配	C：未設定 / 未设置	B：不一致 / 不匹配	−	アイタナナ	(未設定)	20010101	0011
16	1B2A3C	B：不一致 / 不匹配	A：一致 / 匹配	C：未設定 / 未设置	−	アイタナナ	相田　マナ	(未設定)	0011
17	1B2B3C	B：不一致 / 不匹配	B：不一致 / 不匹配	C：未設定 / 未设置	−	アイタナナ	相他ナナ	(未設定)	0011
18	1B2C3C	B：不一致 / 不匹配	C：未設定 / 未设置	C：未設定 / 未设置	−	アイタナナ	(未設定)	(未設定)	0011
